feature,importance,cumulative,category,rank
rain_risk_score,0.11500817919338137,0.11500817919338137,Weather,1
month_severity_rate,0.08633940509934075,0.20134758429272212,Temporal_Risk,2
day_severity_rate,0.07949282822817522,0.2808404125208973,Temporal_Risk,3
hour_severity_rate,0.06662694669845122,0.3474673592193485,Temporal_Risk,4
high_rate_at_location,0.062374491384695474,0.409841850604044,Spatial_Risk,5
month,0.0549594348898086,0.4648012854938526,Temporal_Original,6
distance_from_cbd_km,0.041371753091400384,0.506173038585253,Infrastructure,7
longitude,0.04059566947933473,0.5467687080645877,Location,8
season_LONG_RAINS,0.04002852372778576,0.5867972317923734,Weather,9
latitude,0.03971853343750056,0.626515765229874,Location,10
hour,0.037155700965566474,0.6636714661954404,Temporal_Original,11
season_DRY_SEASON,0.03563053754121686,0.6993020037366572,Weather,12
crashes_at_location,0.032982407147524734,0.732284410884182,Spatial_Risk,13
is_rush_hour,0.030840726216560824,0.7631251371007428,Temporal_Risk,14
year,0.02753830834630761,0.7906634454470505,Temporal_Original,15
day_of_week,0.024441393907604365,0.8151048393546548,Temporal_Original,16
high_rain_risk,0.02361003247797196,0.8387148718326268,Weather,17
season_SHORT_RAINS,0.020666886644556404,0.8593817584771832,Weather,18
daylight_status_DARKNESS,0.01818711604135058,0.8775688745185338,Weather,19
daylight_status_DAYLIGHT,0.01259744935986672,0.8901663238784006,Weather,20
dangerous_time,0.011447212327981182,0.9016135362063817,Spatial_Risk,21
is_weekend,0.011332949929206143,0.9129464861355879,Temporal_Original,22
location_risk_category_MEDIUM_RISK,0.010850783136732363,0.9237972692723203,Infrastructure,23
location_risk_category_LOW_RISK,0.008436986476534895,0.9322342557488552,Infrastructure,24
location_risk_category_HIGH_RISK,0.007325030846410167,0.9395592865952653,Infrastructure,25
high_risk_location,0.006675104469186009,0.9462343910644513,Spatial_Risk,26
location_risk_category_VERY_HIGH_RISK,0.006317274973183427,0.9525516660376347,Infrastructure,27
geographic_zone_INNER_SUBURBS,0.005632341181849739,0.9581840072194845,Infrastructure,28
rain_darkness_risk,0.0050436474788053765,0.9632276546982899,Weather,29
is_night,0.004543075242963792,0.9677707299412537,Temporal_Risk,30
geographic_zone_CBD_CORE,0.004341966698769011,0.9721126966400226,Infrastructure,31
road_type_proxy_MAJOR_HIGHWAY,0.0035102777567174413,0.9756229743967401,Infrastructure,32
road_type_proxy_SECONDARY_ROAD,0.0033532613920892887,0.9789762357888293,Infrastructure,33
road_type_proxy_MAIN_ROAD,0.0033500948825775007,0.9823263306714068,Infrastructure,34
road_type_proxy_RESIDENTIAL,0.003174103246119769,0.9855004339175266,Infrastructure,35
likely_intersection,0.0030014368312340366,0.9885018707487606,Infrastructure,36
high_speed_road,0.002840937851219012,0.9913428085999796,Infrastructure,37
geographic_zone_OUTER_SUBURBS,0.0028175304605259125,0.9941603390605055,Infrastructure,38
high_risk_infrastructure,0.002724136539605964,0.9968844756001115,Infrastructure,39
high_risk_location_dangerous_time,0.0017092497414750594,0.9985937253415865,Spatial_Risk,40
geographic_zone_PERIPHERAL,0.001406274658413183,0.9999999999999997,Infrastructure,41
